RowNumber,species_1,cluster_1,species_2,cluster_2,dist,neighborhood,cross_species_cluster1_species_1,cross_species_cluster2_species_2,NewSortColumn
23614,2,86,4,85,49.35438699,181,86,83,0
495,3,86,1,85,53.27994815,181,86,83,0
8270,3,86,4,85,41.33498742,181,86,83,0
18224,1,86,4,122,54.2495161,181,86,83,0
23646,2,86,4,122,52.45941765,181,86,83,0
8312,3,86,4,122,45.73983178,181,86,83,0
15364,1,87,2,84,40.19221374,181,86,83,0
20956,1,87,5,84,40.06584596,181,86,83,0
26464,2,87,5,84,42.05415414,181,86,83,0
18186,1,87,4,85,40.50141064,181,86,83,0
23615,2,87,4,85,42.51659354,181,86,83,0
18225,1,87,4,122,45.55467435,181,86,83,0
23647,2,87,4,122,47.16769117,181,86,83,0
15324,1,86,2,83,63.75981557,181,86,84,0
18107,1,86,4,83,65.25341767,181,86,84,0
20916,1,86,5,83,62.84835166,181,86,84,0
23550,2,86,4,83,63.48949916,181,86,84,0
26431,2,86,5,83,61.2695549,181,86,84,0
411,3,86,1,83,58.0446715,181,86,84,0
4363,3,86,2,83,58.81560235,181,86,84,0
8186,3,86,4,83,60.31857826,181,86,84,0
12097,3,86,5,83,57.7437359,181,86,84,0
28920,4,86,5,83,58.84336229,181,86,84,0
18146,1,86,4,84,53.05071175,181,86,84,0
23582,2,86,4,84,51.26995663,181,86,84,0
8228,3,86,4,84,45.34815146,181,86,84,0
789,3,86,1,92,64.33283604,181,86,84,0
15325,1,87,2,83,60.35932939,181,86,84,0
18108,1,87,4,83,61.78657361,181,86,84,0
20917,1,87,5,83,59.22640725,181,86,84,0
23551,2,87,4,83,63.35815779,181,86,84,0
26432,2,87,5,83,60.65850635,181,86,84,0
18147,1,87,4,84,46.00636716,181,86,84,0
23583,2,87,4,84,47.72308737,181,86,84,0
15402,1,86,2,86,3.614076416,181,86,86,0
18263,1,86,4,86,18.6321163,181,86,86,0
20994,1,86,5,86,14.22843571,181,86,86,0
23678,2,86,4,86,15.87036705,181,86,86,0
26495,2,86,5,86,11.71106832,181,86,86,0
537,3,86,1,86,19.14325812,181,86,86,0
4447,3,86,2,86,16.56656024,181,86,86,0
8354,3,86,4,86,2.705183773,181,86,86,0
12181,3,86,5,86,6.470890944,181,86,86,0
28982,4,86,5,86,5.153346074,181,86,86,0
15441,1,86,2,87,29.71470124,181,86,86,0
579,3,86,1,87,10.0553521,181,86,86,0
4489,3,86,2,87,11.12271251,181,86,86,0
15403,1,87,2,86,26.47968015,181,86,86,0
18264,1,87,4,86,10.84639829,181,86,86,0
20995,1,87,5,86,15.40099779,181,86,86,0
23679,2,87,4,86,11.5849564,181,86,86,0
26496,2,87,5,86,15.89496811,181,86,86,0
15442,1,87,2,87,2.547591281,181,86,86,0
4819,3,83,2,96,65.73397057,181,83,92,1
993,3,83,1,97,64.09599529,181,83,92,1
4903,3,83,2,98,63.3304443,181,83,92,1
8810,3,83,4,99,64.66749665,181,83,92,1
12595,3,83,5,99,65.22638702,181,83,92,1
12637,3,83,5,100,62.58009928,181,83,92,1
15751,1,84,2,96,67.85660189,181,83,92,1
4820,3,84,2,96,67.64912101,181,83,92,1
994,3,84,1,97,65.68048451,181,83,92,1
15829,1,84,2,98,65.06445515,181,83,92,1
4904,3,84,2,98,64.90052771,181,83,92,1
18690,1,84,4,99,66.08176049,181,83,92,1
21382,1,84,5,99,67.26688496,181,83,92,1
24029,2,84,4,99,65.57601234,181,83,92,1
26814,2,84,5,99,66.67156224,181,83,92,1
8811,3,84,4,99,65.93337181,181,83,92,1
12596,3,84,5,99,67.06575175,181,83,92,1
21421,1,84,5,100,63.74918181,181,83,92,1
26846,2,84,5,100,63.19416085,181,83,92,1
12638,3,84,5,100,63.58327829,181,83,92,1
15752,1,85,2,96,58.5492199,181,83,92,1
4821,3,85,2,96,71.6755696,181,83,92,1
995,3,85,1,97,69.49163711,181,83,92,1
15830,1,85,2,98,58.68148928,181,83,92,1
4905,3,85,2,98,68.64684613,181,83,92,1
18691,1,85,4,99,59.80961887,181,83,92,1
21383,1,85,5,99,57.97601317,181,83,92,1
8812,3,85,4,99,69.48690058,181,83,92,1
12597,3,85,5,99,70.99277181,181,83,92,1
29290,4,85,5,99,67.52506121,181,83,92,1
21422,1,85,5,100,57.70180577,181,83,92,1
12639,3,85,5,100,67.06877695,181,83,92,1
29321,4,85,5,100,64.27043533,181,83,92,1
29291,4,122,5,99,63.65987733,181,83,92,1
29322,4,122,5,100,61.51726222,181,83,92,1
8558,3,83,4,92,59.64634503,181,83,94,1
867,3,83,1,94,63.82599036,181,83,94,1
4735,3,83,2,94,61.84716353,181,83,94,1
8600,3,83,4,94,62.00733275,181,83,94,1
4777,3,83,2,95,58.04441789,181,83,94,1
8642,3,83,4,95,64.16646648,181,83,94,1
12427,3,83,5,95,59.72151312,181,83,94,1
8684,3,83,4,96,57.0077258,181,83,94,1
1035,3,83,1,98,58.97035896,181,83,94,1
1119,3,83,1,100,61.73806875,181,83,94,1
1161,3,83,1,101,59.9970492,181,83,94,1
18456,1,84,4,92,60.91470624,181,83,94,1
23837,2,84,4,92,60.29265235,181,83,94,1
8559,3,84,4,92,60.81594489,181,83,94,1
15673,1,84,2,94,63.46012382,181,83,94,1
18495,1,84,4,94,63.38403371,181,83,94,1
23869,2,84,4,94,62.76288091,181,83,94,1
868,3,84,1,94,65.37152377,181,83,94,1
4736,3,84,2,94,63.30086409,181,83,94,1
8601,3,84,4,94,63.28151828,181,83,94,1
15712,1,84,2,95,59.3515358,181,83,94,1
18534,1,84,4,95,65.53829931,181,83,94,1
21226,1,84,5,95,61.31347174,181,83,94,1
23901,2,84,4,95,64.99420967,181,83,94,1
26686,2,84,5,95,60.64033249,181,83,94,1
4778,3,84,2,95,59.46793031,181,83,94,1
8643,3,84,4,95,65.46013176,181,83,94,1
12428,3,84,5,95,61.19371326,181,83,94,1
18573,1,84,4,96,59.26197368,181,83,94,1
23933,2,84,4,96,58.496469,181,83,94,1
8685,3,84,4,96,59.18264163,181,83,94,1
1036,3,84,1,98,59.7493366,181,83,94,1
1120,3,84,1,100,64.21374348,181,83,94,1
1162,3,84,1,101,61.17520764,181,83,94,1
18457,1,85,4,92,54.22582434,181,83,94,1
8560,3,85,4,92,64.22202112,181,83,94,1
15674,1,85,2,94,56.01037914,181,83,94,1
18496,1,85,4,94,56.19974764,181,83,94,1
869,3,85,1,94,68.97381606,181,83,94,1
4737,3,85,2,94,66.89378145,181,83,94,1
8602,3,85,4,94,66.61200762,181,83,94,1
15713,1,85,2,95,50.62391743,181,83,94,1
18535,1,85,4,95,58.45204893,181,83,94,1
21227,1,85,5,95,53.43157378,181,83,94,1
4779,3,85,2,95,62.04103155,181,83,94,1
8644,3,85,4,95,68.73463127,181,83,94,1
12429,3,85,5,95,64.68881423,181,83,94,1
29166,4,85,5,95,61.81694962,181,83,94,1
18574,1,85,4,96,48.81924476,181,83,94,1
8686,3,85,4,96,62.82553762,181,83,94,1
1037,3,85,1,98,63.13488262,181,83,94,1
1121,3,85,1,100,68.15089919,181,83,94,1
1163,3,85,1,101,64.20987805,181,83,94,1
29167,4,122,5,95,58.07644853,181,83,94,1
4525,3,83,2,88,57.43368809,181,83,95,1
12301,3,83,5,90,54.75313064,181,83,95,1
741,3,83,1,91,58.65402566,181,83,95,1
8516,3,83,4,91,59.39909843,181,83,95,1
4693,3,83,2,92,58.71491437,181,83,95,1
909,3,83,1,95,61.0272171,181,83,95,1
951,3,83,1,96,58.36311557,181,83,95,1
12469,3,83,5,96,56.07372696,181,83,95,1
12553,3,83,5,98,60.43610104,181,83,95,1
15478,1,84,2,88,62.97080151,181,83,95,1
4526,3,84,2,88,63.30024404,181,83,95,1
21109,1,84,5,90,61.07648106,181,83,95,1
26590,2,84,5,90,60.15402574,181,83,95,1
12302,3,84,5,90,61.52045187,181,83,95,1
18417,1,84,4,91,65.54769061,181,83,95,1
23805,2,84,4,91,64.62082242,181,83,95,1
742,3,84,1,91,64.06282361,181,83,95,1
8517,3,84,4,91,65.91615019,181,83,95,1
15634,1,84,2,92,61.96440092,181,83,95,1
4694,3,84,2,92,61.94654992,181,83,95,1
910,3,84,1,95,64.00173978,181,83,95,1
21265,1,84,5,96,59.16767643,181,83,95,1
26718,2,84,5,96,58.26665288,181,83,95,1
952,3,84,1,96,61.71255605,181,83,95,1
12470,3,84,5,96,59.26736247,181,83,95,1
21343,1,84,5,98,63.55458774,181,83,95,1
26782,2,84,5,98,62.64711936,181,83,95,1
12554,3,84,5,98,63.62273912,181,83,95,1
15479,1,85,2,88,43.47035147,181,83,95,1
4527,3,85,2,88,66.81709487,181,83,95,1
21110,1,85,5,90,39.02257054,181,83,95,1
12303,3,85,5,90,65.10235517,181,83,95,1
